TestCaseID,TestCaseDescription,GeneralBiographicalInformationHeading,LegalEntityNameHeading,EntityName,EntityName_Data,AddressHeading,Address_Value,LegalAddress2Heading,LegalAddress2Heading_Value,LegalAddress3Heading,LegalAddress3_Value,CityHeading,City_Value,CountryHeading,Country_Value,State/ProvinceHeading,State/Province_Value,Zip/PostalCodeHeading,Zip/PostalCode_Value,Zip/Postalcodedata2,EntityIsMultibranchHeading,checkEntityisMultibranch,BeneficialOwnerHeading,BeneficialOwnerHeading_Data,NotificationsHeading,EmailEnabledHeading,EmailEnabled,EmailListHeading,ServiceProviderEmailListHeading,Emaildisplay,AliasesHeading,LegalEntityIdentifierHeading,LegalEntityIdentifier_Value,ShortNameHeading,ShortName_Value,ReferenceIdentifier,ReferenceIdentifer_Value,TriOptPartyCode,TriOptPartyCode_Value,FundNumber,FundNumber_Value,SD_ContactInformationHeading,ContactNameHeading,ContactNameHeadingValue,PhoneNumberHeading,PhoneNumberHeading_Value,EmailHeading,EmailHeading_Value,RelevantRegulatoryJurisdictionHeading,CountryName1,CountryName2,CountryName3,CountryName4,CountryName5,EntityMultiBranch,Jurisdiction,DomesticFRFI,CanadaBranchFRFI,CoveredEntity,CanadianBranch,CanadaAANAGroup,CanadaAANAThreshold,CanadaAANAThresholdEstimate,Cleanup
SD_131_85601,Ability to manage General Biographical Information on self disclosure screen,General Biographical Information,Legal Entity Name*,Enter special characters,Validation of Pre-filled data,,,,,,,,,,,,,,Enter alpha numeric and special characters,,Entity is multibranch,FALSE,Beneficial Owner,123%^&*(())_&&*,Notifications,Email Enabled,FALSE,Email List*,Service Provider Email List*,someone@com.net,Aliases,Legal Entity Identifier,1111-222-3333,Short Name,1111-222-3333,Reference Identifier,1111-222-3333,TriOpt Party Code,1111-222-3333,Fund Number,1111-222-3333,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_85602,Ability to manage (display and functionality) of Name & Add under General Biographical Information on self disclosure screen,General Biographical Information,Legal Entity Name*,Enter special characters,Validation of Pre-filled data,Address,Acadiasoft Inc,Legal Address 2,93 Longwater drive,Legal Address 3,Norwell,City,abc!@##$%%12,Country*,United States,State/Province,Massachusetts,Zip/Postal Code*,abc!@##$%%12,2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_85603,Ability to manage (display & function) of Multi branch & Beneficial Owner  under General Biographical Information on self disclosure screen.,General Biographical Information,Legal Entity Name*,,,,,,,,,,,,,,,,,,Entity is multibranch,FALSE,Beneficial Owner,123%^&*(())_&&*,Notifications,Email Enabled,FALSE,Email List*,Service Provider Email List*,someone@com.net,Aliases,Legal Entity Identifier,,Short Name,1111-222-3333,Reference Identifier,1111-222-3333,TriOpt Party Code,1111-222-3333,Fund Number,1111-222-3333,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_85437,Confirmation of expected display and functionality of  section Self Disclosure -Contact Information at SD screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Disclosure Contact Information,Contact Name,1233*&^^$#((,Phone Number,ABC)((*$&^^@#!,Email,nobody@acadiasoft.com,,,,,,,,,,,,,,,,NO
SD_131_85604,Confirmation of cprrect display of Notification section under General Biographical Information on self disclosure screen,General Biographical Information,Legal Entity Name*,,,,,,,,,,,,,,,,,,,,,,Notifications,Email Enabled,FALSE,Email List*,Service Provider Email List*,someone@com.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_85605,Confirmation of correct display of Aliases section,General Biographical Information,Legal Entity Name*,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliases,Legal Entity Identifier,,Short Name,1111-222-3333,Reference Identifier,1111-222-3333,TriOpt Party Code,1111-222-3333,Fund Number,1111-222-3333,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_86117,Confirmation of correct display and functionality of Relevant Reg Jurisdiction on self disclosure screen,General Biographical Information,Legal Entity Name*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevant Regulatory Jurisdiction,Canada,EU,Japan,Switzerland,United States,,,,,,,,,,NO
SD_131_86116,Confirmation of correct display of Astik on self disclosure screen.,General Biographical Information,Legal Entity Name*,,,,,,,,,,,Country*,,,,Zip/Postal Code*,,,,,,,,,,Email List*,Service Provider Email List*,someone@com.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
SD_131_85435,Ability to manage General Biographical Information on self disclosure screen,General Biographical Information,Legal Entity Name*,,Validation of Pre-filled data,Address,Acadiasoft Inc,Legal Address 2,93 Longwater drive,Legal Address 3,Norwell,City,abc!@##$%%12,Country*,United States,State/Province,Massachusetts,Zip/Postal Code*,abc!@##$%%12,2061,Entity is multibranch,FALSE,Beneficial Owner,123%^&*(())_&&*,Notifications,Email Enabled,FALSE,Email List*,Service Provider Email List*,someone@com.net,Aliases,Legal Entity Identifier,1111-222-3333,Short Name,1111-222-3333,Reference Identifier,1111-222-3333,TriOpt Party Code,1111-222-3333,Fund Number,1111-222-3333,,,,,,,,,,,,,,,,,,,,,,,NO
END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
